event_id,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets
37,TCP,1.0,1.0,2.0,0.0,12.0
39,TCP,3.0,2.0,0.0,0.0,0.0
42,TCP,81.0,3.0,1.0,4.0,4.0
45,UDP,31521.0,2.0,2.0,76.0,438.0
56,TCP,204.0,3.0,1.0,18.0,0.0
71,UDP,44575.0,1.0,1.0,48.0,48.0
96,TCP,3.0,2.0,0.0,37.0,0.0
108,UDP,224.0,2.0,2.0,74.0,262.0
112,TCP,3.0,2.0,0.0,12.0,0.0
125,TCP,5164159.0,5.0,1.0,135.0,46.0
129,TCP,228519.0,2.0,2.0,12.0,31.0
135,TCP,3.0,2.0,0.0,37.0,0.0
146,TCP,3.0,2.0,0.0,12.0,0.0
153,UDP,133.0,2.0,2.0,96.0,96.0
157,TCP,45.0,1.0,1.0,0.0,0.0
179,TCP,64061246.0,2.0,0.0,0.0,0.0
195,TCP,3.0,2.0,0.0,37.0,0.0
204,TCP,64061218.0,2.0,0.0,74.0,0.0
205,TCP,96.0,2.0,1.0,0.0,0.0
215,UDP,50711.0,2.0,2.0,84.0,204.0
234,TCP,38.0,1.0,1.0,0.0,0.0
240,TCP,177242.0,12.0,8.0,666.0,6559.0
243,TCP,3.0,2.0,0.0,37.0,0.0
245,TCP,103544.0,2.0,3.0,0.0,18.0
263,TCP,213626.0,13.0,8.0,974.0,4160.0
269,UDP,153.0,2.0,2.0,90.0,212.0
270,UDP,150.0,2.0,2.0,88.0,210.0
283,UDP,54402.0,2.0,2.0,76.0,376.0
290,TCP,361114.0,10.0,4.0,776.0,351.0
291,TCP,367887.0,10.0,4.0,792.0,351.0
311,UDP,31091.0,1.0,1.0,49.0,177.0
315,TCP,44.0,1.0,1.0,0.0,0.0
328,TCP,31625.0,2.0,1.0,0.0,0.0
336,TCP,25.0,1.0,1.0,0.0,0.0
357,UDP,49926.0,1.0,1.0,61.0,77.0
358,UDP,50671.0,1.0,1.0,50.0,91.0
363,TCP,174335.0,2.0,3.0,0.0,18.0
366,TCP,174306.0,2.0,2.0,12.0,0.0
372,TCP,211.0,2.0,1.0,37.0,6.0
377,TCP,9532.0,5.0,0.0,37.0,0.0
380,TCP,881.0,1.0,1.0,0.0,0.0
393,UDP,23918.0,1.0,1.0,49.0,177.0
397,UDP,370.0,10.0,10.0,680.0,620.0
399,TCP,175200.0,2.0,1.0,12.0,0.0
407,TCP,291775.0,7.0,6.0,673.0,356.0
411,TCP,81895.0,10.0,5.0,713.0,479.0
426,TCP,111.0,1.0,1.0,0.0,0.0
429,TCP,70.0,2.0,1.0,0.0,0.0
443,TCP,3.0,2.0,0.0,37.0,0.0
455,TCP,179144.0,10.0,5.0,1275.0,687.0
490,TCP,99.0,2.0,1.0,0.0,0.0
491,TCP,64063382.0,2.0,0.0,74.0,0.0
498,TCP,274.0,2.0,0.0,0.0,0.0
512,TCP,1156348.0,9.0,6.0,657.0,356.0
518,TCP,1226090.0,13.0,8.0,892.0,5363.0
533,TCP,142.0,2.0,1.0,0.0,0.0
549,UDP,54286.0,2.0,2.0,74.0,262.0
560,TCP,173119.0,2.0,3.0,0.0,18.0
572,TCP,106.0,1.0,1.0,0.0,0.0
601,TCP,320.0,1.0,3.0,0.0,18.0
605,TCP,3.0,2.0,0.0,37.0,0.0
606,TCP,4.0,2.0,0.0,37.0,0.0
634,TCP,397191.0,4.0,0.0,29.0,0.0
